;cD312_S49;cD313_S50;cD314_S51;cD318_S55;cD319_S56;cD320_S57;cD324_S61;cD325_S62;cD326_S63;cD330_S67;cD331_S68;cD332_S69;cD336_S73;cD337_S74;cD338_S75;cD342_S79;cD343_S80;cD344_S81;cD348_S85;cD349_S86;cD350_S87;cD354_S91;cD355_S92
Altererythrobacter_Erythrobacteraceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002033239;0;0;0,006052673;0;0
Alteromonas_Alteromonadaceae_Alteromonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aminobacter_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0,006870694;0;0,013342228;0;0;0,005335041;0,007478802;0;0,070915585;0,005867856;0;0;0;0,077669745;0,005265329;0,079562591;0;0,005954798;0,002967306
Amorphus_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0;0,003488259;0;0;0;0;0;0;0;0;0;0;0,003223436;0;0;0;0;0;0,004387774;0,019428074;0;0;0
Ancylobacter_Xanthobacteraceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002439887;0;0;0;0,005954798;0
Antarctobacter_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0,00418591;0;0,010481631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aquabacterium_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aquamicrobium_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0,013534297;0;0;0;0;0;0;0,006142883;0;0,026480446;0;0,005341151
Aquimonas_Xanthomonadaceae_Xanthomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arcobacter_Campylobacteraceae_Campylobacterales_Epsilonproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arenibacter_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,013364071;0,009767124;0,015474077;0,006114285;0,007852221;0,00837981;0,008894819;0;0;0,008002561;0;0;0;0;0;0;0;0;0;0;0;0;0
Arthrobacter_Micrococcaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aureimonas_Aurantimonadaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azoarcus_Rhodocyclaceae_Rhodocyclales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillus_Bacillaceae_Bacillales_Bacilli_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
