;X19_S2;X20_S3;X21_S4;X25_S8;X26_S9;X27_S10;X31_S14;X32_S15;X33_S16;X37_S20;X38_S21;X39_S22;X43_S26;X44_S27;X45_S28;X49_S32;X50_S33;X51_S34;X56_S38;X57_S39;X58_S40;X61_S43;X62_S44;X63_S45;X67_S49;X68_S50;X69_S51;X73_S55;X74_S56;X75_S57;X79_S61;X80_S62;X81_S63;X85_S67;X86_S68;X87_S69;X91_S73;X92_S74;X93_S75;X97_S79;X99_S80;X103_S83;X104_S84;X105_S85;X109_S89;X110_S90;X111_S91
_uncultured_Gaiellales_Thermoleophilia_Actinobacteria;0,079638051;0,089658616;0,048853768;0,00748223;0;0,022061906;0;0;0;0,00748383;0;0;0;0,010171018;0;0,01944611;0;0;0,013178703;0,008538494;0,006301515;0,013778786;0,01565454;0,0169408;0,009470732;0;0,014100395;0,014632897;0;0,013540732;0;0,013792152;0;0;0,015777314;0,010319309;0,008461566;0,006751192;0,022110724;0;0;0,00948083;0;0,006239276;0,005817035;0;0,004305223
_uncultured_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_uncultured_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01465036;0;0;0;0;0;0;0;0;0;0;0;0
_Verrucomicrobiaceae_Verrucomicrobiales_Verrucomicrobiae_Verrucomicrobia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_WCHB1-69_Sphingobacteriales_Sphingobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_WW2-159_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Xanthobacteraceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achromobacter_Alcaligenaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,023083493;0,015888869;0,010992098;0,010475122;0,027040182;0,028680477;0,037649815;0,042093984;0;0,019244133;0,026234478;0,030281466;0,032744737;0,014530026;0,028347209;0,051856293;0,018247065;0,045107016;0,033678908;0,02988473;0,022685454;0,044092116;0,04214684;0,024641163;0,010927767;0,02630168;0,031222303;0,018291121;0,009325127;0,028774056;0;0;0;0,020821869;0,007888657;0,01474187;0,009670362;0,010801907;0;0;0;0;0;0;0;0,008814974;0
Acidovorax_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,020775144;0,032912657;0,048853768;0,038907594;0,043264291;0,083835242;0,048108097;0;0;0,073769177;0,061213782;0,075703666;0,048510721;0,068291124;0,093993376;0,059958839;0,036494131;0,050745393;0,021964505;0,056923296;0,037809089;0,031231915;0,016858736;0,024641163;0,016027392;0,024278474;0,020143421;0,012194081;0,018650254;0,016925915;0;0;0;0,014872764;0,020285119;0,019164431;0,020549518;0,006751192;0,011905774;0,00589574;0,010479709;0,00948083;0;0,009358914;0,003878023;0,008080393;0
Acinetobacter_Moraxellaceae_Pseudomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008013696;0;0,006043026;0,008535857;0,01332161;0;0;0;0;0;0;0;0;0;0;0;0,017029527;0;0;0;0;0;0
