;D315_S4;D316_S5;D317_S6;D321_S10;D322_S11;D323_S12;D327_S16;D328_S17;D329_S18;D333_S22;D334_S23;D335_S24;D339_S28;D340_S29;D341_S30;D345_S34;D346_S35;D347_S36;D351_S40;D352_S41;D353_S42;D358_S45;D359_S46
_Verrucomicrobiaceae_Verrucomicrobiales_Verrucomicrobiae_Verrucomicrobia;0,01810847;0,019234997;0,021817626;0,014110343;0,011953679;0;0,022504276;0,011562832;0,013976892;0,005101989;0;0,010812681;0,010483279;0;0,009240578;0;0,013169808;0,009017307;0;0,004895721;0,005273114;0,008744535;0,006072547
_WCHB1-69_Sphingobacteriales_Sphingobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_WW2-159_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Xanthobacteraceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003295696;0;0
Achromobacter_Alcaligenaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,016096418;0,006869642;0,008727051;0,007839079;0,023907359;0,008954796;0;0,004625133;0,014908684;0,012244773;0,009458165;0;0,031449838;0;0,020021253;0,008238105;0;0,044442441;0,017075045;0,025294559;0,050094586;0,031230481;0,058701285
Acidovorax_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,022132574;0,023356782;0,029453796;0,010974711;0,020918939;0;0;0,007708555;0,009317928;0,00918358;0,005911353;0,008650145;0,012230492;0,013984617;0,016941061;0,010591849;0,011523582;0,023831454;0,022197558;0,017135024;0,025047293;0,013741412;0,038459462
Acinetobacter_Moraxellaceae_Pseudomonadales_Gammaproteobacteria_Proteobacteria;0,016096418;0,021982853;0;0,02665287;0;0,017909592;0;0,004625133;0,004658964;0,006122387;0;0;0,020966558;0;0;0,010591849;0;0,010305493;0,008537522;0;0,021092457;0,007495315;0,008096729
Actibacterium_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0,00896526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aequorivita_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,407440569;0,368212794;0,369808769;0,371572363;0,47814718;0,361773766;0,801152219;0,437845921;0,506895266;0,475505352;0,483548704;0,430344708;0,719851836;0,659274798;0,525172876;0,523708089;0,548193267;0,747148277;0,512251345;0,697640262;1,375623711;0,515927545;1,111276044
Aeromicrobium_Nocardioidaceae_Propionibacteriales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0,004625133;0;0;0;0;0;0;0;0;0;0,003220467;0;0;0;0;0
Aeromonas_Aeromonadaceae_Aeromonadales_Gammaproteobacteria_Proteobacteria;0,024144626;0,019234997;0,029453796;0,043898845;0,037355248;0;0;0,014646254;0,013976892;0,022448751;0,005911353;0,006487609;0;0,013984617;0,027721735;0,008238105;0,018108486;0,014170054;0;0,014687163;0,0184559;0,009993754;0,012819821
Aestuariivita_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0,007042183;0;0,007636169;0;0,01045947;0;0;0,003854277;0;0,00918358;0,010640436;0;0;0,009989012;0;0,014122465;0;0,016746427;0;0;0;0;0
Afifella_Rhodobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006440933;0;0;0;0;0
Afipia_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006747274
Agrococcus_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004079768;0;0;0
Ahrensia_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;1,157936037;1,174708727;0,681800827;0,719627487;0,856182294;0,841750842;0,625618868;0,507993771;0,563734625;0,460199386;0,517834553;0,383850179;0,42107838;0,393567076;0,297238607;0,216544468;0,342415014;0,24475547;0,249295654;0,283135873;0,220811664;0,214865709;0,192297312
Albidiferax_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0,024226612;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algoriphagus_Cyclobacteriaceae_Cytophagales_Cytophagia_Bacteroidetes;0,011066287;0,021982853;0,020726745;0;0,013447889;0,028655348;0;0,019271387;0,012113306;0;0,016551789;0,005406341;0,015724919;0;0;0;0,011523582;0,01739052;0;0,004895721;0,011205368;0;0,006072547
Aliihoeflea_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alkanindiges_Moraxellaceae_Pseudomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,012945593;0;0;0;0;0;0;0
Altererythrobacter_Erythrobacteraceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0,044331993;0;0;0;0;0;0,03284876;0;0,004079768;0;0;0
Alteromonas_Alteromonadaceae_Alteromonadales_Gammaproteobacteria_Proteobacteria;0,00503013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003295696;0;0
Aminobacter_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06119735;0;0,0096614;0;0;0;0;0,004723092
Amorphus_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008537522;0;0,003295696;0;0,006072547
Ancylobacter_Xanthobacteraceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0,004625133;0;0;0;0;0;0;0;0;0;0,00386456;0;0;0,005273114;0;0
Antarctobacter_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0,103620688;0,097548912;0,092724912;0,144239061;0,097123646;0,075220288;0,117022234;0,075543839;0,054043981;0,05918307;0,048473097;0,091907789;0,085613447;0,071920887;0,077004821;0,06708171;0,087249979;0,048307001;0,037565099;0,070172003;0,02834299;0,023735166;0,022940732
Aquabacterium_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aquamicrobium_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,009054235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,027696014;0;0;0;0;0,014169276
Aquimonas_Xanthomonadaceae_Xanthomonadales_Gammaproteobacteria_Proteobacteria;0,011066287;0,013739283;0,009817932;0;0,016436309;0,012536715;0;0,003854277;0,009317928;0,005101989;0,005911353;0;0;0;0;0;0;0;0;0;0,003295696;0;0
Arcobacter_Campylobacteraceae_Campylobacterales_Epsilonproteobacteria_Proteobacteria;0,006036157;0,012365355;0,027272033;0,007839079;0,01045947;0;0;0;0;0,020407955;0,007093624;0,014056485;0;0,009989012;0,007700482;0;0;0,009017307;0;0;0;0;0,003373637
Arenibacter_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,103620688;0,151132117;0,170177486;0,12542527;0,179305192;0,179095924;0,202538482;0,161879654;0,132314573;0,078570627;0,12295615;0,148133731;0,078624594;0,073918689;0,118587424;0,075319815;0,097127336;0,162311522;0,035857594;0,03019028;0,087006387;0,103685197;0,089738746
Arthrobacter_Micrococcaceae_Micrococcales_Actinobacteria_Actinobacteria;0,01810847;0,010991427;0,011999695;0,007839079;0;0;0;0,003854277;0,013976892;0;0;0,005406341;0;0;0;0;0;0;0;0,004079768;0,003295696;0;0
Aureimonas_Aurantimonadaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azoarcus_Rhodocyclaceae_Rhodocyclales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillus_Bacillaceae_Bacillales_Bacilli_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacteriovorax_Bacteriovoracaceae_Bdellovibrionales_Deltaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAL58-marine-group_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,011066287;0,017861068;0,007636169;0,014110343;0,025401569;0;0,031505986;0,010021121;0,015840477;0,007142784;0,007093624;0,016219022;0,019219345;0,009989012;0,009240578;0;0,00823113;0,012237773;0;0,013055256;0,012523647;0;0,006747274
Balneola_Unknown-Family_Order-III_Cytophagia_Bacteroidetes;0,017102444;0,01648714;0;0,017245975;0,014942099;0;0;0,003854277;0,013976892;0;0;0;0;0;0;0;0;0,006440933;0;0;0;0;0,004723092
Bartonella_Bartonellaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00386456;0;0;0;0;0
Bauldia_Rhizobiales-Incertae-Sedis_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,008048209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004613975;0;0
