;c19_S1;c20_S2;c21_S3;c25_S7;c26_S8;c27_S9;c31_S13;c32_S14;c33_S15;c37_S19;c38_S20;c39_S21;c43_S25;c44_S26;c45_S27;c49_S31;c50_S32;c51_S33;c56_S37;c57_S38;c58_S39;c61_S42;c62_S43;c65_S46;c67_S48;c68_S49;c69_S50;c73_S54;c74_S55;c75_S56;c79_S60;c80_S61;c81_S62;c85_S66;c86_S67;c87_S68;c91_S72;c92_S73;c93_S74;c97_S78;c99_S79;c103_S83;c104_S84;c105_S85;c109_S89;c110_S90;c111_S91
_JG34-KF-361_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0,006109802;0;0;0;0;0;0;0;0,007785477;0;0,025871419;0,009007954;0;0,022064377;0,015250877;0;0;0;0,037664783;0;0,007238684;0,007333636;0;0;0;0,01085305;0,006689634;0;0;0;0;0;0,00587021;0;0;0;0;0;0;0;0,001748042;0;0;0;0,004786979;0
_MND8_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_MNG7_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009416196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008350631;0;0;0,007978299;0
_NS11-12-marine-group_Sphingobacteriales_Sphingobacteriia_Bacteroidetes;0,018982693;0,027930523;0,031858329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008805314;0;0;0;0,009872377;0,01748904;0,015766498;0,028975212;0,027469234;0,04413905;0,038331568;0,021602271;0,042284985;0,01634638
_NS7-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_NS9-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_OPB56_Chlorobiales_Chlorobia_Chlorobi;0,004126672;0,004364144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,011219747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004880954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00587021;0;0;0;0;0;0,009854061;0,008412158;0,006742448;0;0,007061078;0,006172078;0,023137067;0
_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0,01057542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006614632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002554122
_Rhodobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,013697156;0;0;0;0;0;0;0;0;0;0;0;0;0
_Rhodospirillaceae_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0,009078679;0;0,009887068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_SAR116-clade_Rickettsiales_Alphaproteobacteria_Proteobacteria;0;0,004364144;0;0,021855933;0,005875234;0,013936752;0,065507855;0;0,039049534;0,017795375;0,016985027;0,024876364;0,014412726;0,0126354;0,026307526;0,010558299;0;0;0,020218118;0,011770245;0,020836673;0,020509603;0;0,018718962;0;0,026458526;0;0,01226433;0,00731743;0;0;0;0;0;0;0;0;0;0;0,004927031;0;0;0;0;0;0;0
_SHWN-night2_Rickettsiales_Alphaproteobacteria_Proteobacteria;0;0,00785546;0;0;0;0;0;0;0;0,010009899;0;0;0;0;0,005940409;0;0,00651848;0,005857144;0,014271613;0;0,012822568;0;0,013200546;0,013213385;0;0;0,007752178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002247483;0;0;0;0;0
_Sphingomonadaceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01294727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_T9d_Rickettsiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_TM146_Solirubrobacterales_Thermoleophilia_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004927031;0;0;0;0;0;0;0
_uncultured_Gaiellales_Thermoleophilia_Actinobacteria;0,010729348;0,019202234;0,029661203;0,010927966;0,00705028;0,008868842;0,015812241;0,021357589;0;0,072293713;0,040502757;0,052737893;0,032428634;0,035608854;0,064495871;0,091505262;0,045629359;0,074190494;0,039246935;0,080037665;0,064112839;0,036193418;0,073336365;0,039640155;0,045514024;0,055562905;0,05736612;0,06020671;0,041160544;0,029482712;0,053263893;0,057034221;0,042111431;0,06261557;0,069717268;0,050103405;0,033093954;0,043079464;0,057130865;0,03054759;0,042995476;0,041703292;0,028630735;0,05346245;0,038884088;0,055050263;0,031160286
_uncultured_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0,007285311;0;0;0;0;0;0,021132008;0,010452324;0,02388131;0,014412726;0;0,014426708;0,010558299;0,01955544;0,004880954;0,024975322;0,036487759;0,011219747;0,039812759;0,035201455;0,014314501;0;0;0;0,020068903;0;0;0;0;0;0,00587021;0;0,007462209;0;0;0,006995616;0;0;0,005493847;0;0;0,003086039;0,007180469;0,004597419
_uncultured_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Verrucomicrobiaceae_Verrucomicrobiales_Verrucomicrobiae_Verrucomicrobia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_WCHB1-69_Sphingobacteriales_Sphingobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_WW2-159_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Xanthobacteraceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achromobacter_Alcaligenaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,058598747;0,076808938;0,103264929;0,036426555;0,037601495;0,021538617;0,059860626;0,021357589;0,027334674;0,036702962;0,037889676;0,045772511;0,027924657;0,028716818;0,046674644;0,04809892;0,044325663;0,05466668;0,042814838;0,076506591;0,035262061;0,065148152;0,049868728;0,031932347;0,01934346;0,031750232;0,020155664;0,045712502;0,016464218;0,044224069;0,028111499;0,058618504;0,042111431;0,032286153;0,029205883;0,036245016;0,008273488;0,013462332;0,025650592;0,034489215;0,030844581;0,028717836;0,005964736;0,016139608;0,018516233;0,031913196;0,013792258
Acidovorax_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,278137715;0,28541503;0,118644813;0,15754485;0,158631306;0,160906142;0,248478072;0,265085368;0,193295195;0,405957002;0,31226319;0,297521319;0,391846;0,352642522;0,433649872;0,279208362;0,232057884;0,222571482;0,193856071;0,162429379;0,341400866;0,177347746;0,24934364;0,20480747;0,086476646;0,220928694;0,186052281;0,14382714;0,142689887;0,131332083;0,084334497;0,066539924;0,108024974;0,171214449;0,094212525;0,131121677;0,019856372;0,058336774;0,076951777;0,092628177;0,071036004;0,030715599;0,026244841;0,034296666;0,014195778;0,030317536;0,026562867
Acinetobacter_Moraxellaceae_Pseudomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009380863;0;0;0;0;0;0;0;0;0;0,011824874;0,007477474;0,003995525;0;0;0;0;0
Actibacterium_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aequorivita_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007062147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aeromicrobium_Nocardioidaceae_Propionibacteriales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
