;X22_S5;X23_S6;X24_S7;X28_S11;X29_S12;X30_S13;X34_S17;X35_S18;X36_S19;X40_S23;X41_S24;X42_S25;X46_S29;X47_S30;X48_S31;X52_S35;X53_S36;X54_S37;X59_S41;X60_S42;X64_S46;X65_S47;X66_S48;X70_S52;X71_S53;X72_S54;X76_S58;X77_S59;X78_S60;X82_S64;X83_S65;X84_S66;X88_S70;X89_S71;X90_S72;X94_S76;X95_S77;X96_S78;X100_S81;X101_S82;X106_S86;X107_S87;X108_S88;X112_S92;X113_S93;X114_S94
_NS11-12-marine-group_Sphingobacteriales_Sphingobacteriia_Bacteroidetes;0,811746602;0,927554415;0,879681275;0;0,015587655;0;0;0,008761075;0;0,014114326;0,006415946;0;0;0,012616506;0,020394428;0,022043426;0;0,011597468;0,019363057;0,008472422;0;0;0,007931921;0,007048458;0,011285726;0;0,024484514;0,017852538;0,0169194;0,019836842;0,038144115;0,009834499;0,037309256;0,01638514;0,023701363;0,015081302;0,011392117;0,023681718;0,055153395;0,020059707;0,0794402;0,042903987;0,050833952;0,133231648;0,127310062;0,128172264
_NS7-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_NS9-marine-group_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_OPB56_Chlorobiales_Chlorobia_Chlorobi;0,026929982;0,033607044;0,033466135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0,116696589;0,017923757;0;0;0;0;0;0;0,018108876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,020805881;0;0;0;0;0,006855137;0;0;0;0;0;0,022984279;0,009617234;0,011944906;0;0,012375253
_Rhodobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Rhodospirillaceae_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_SAR116-clade_Rickettsiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_SHWN-night2_Rickettsiales_Alphaproteobacteria_Proteobacteria;0,020518082;0,032486809;0,019123506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
