;D312_S1;D313_S2;D314_S3;D318_S7;D319_S8;D320_S9;D324_S13;D325_S14;D326_S15;D330_S19;D331_S20;D332_S21;D336_S25;D337_S26;D338_S27;D342_S31;D343_S32;D344_S33;D348_S37;D349_S38;D350_S39;D354_S43;D355_S44
_Sphingomonadaceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_T9d_Rickettsiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00373513;0;0;0;0;0;0,008590573;0,005393336
_TM146_Solirubrobacterales_Thermoleophilia_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_uncultured_Gaiellales_Thermoleophilia_Actinobacteria;0,014416839;0,008187401;0,011616426;0,011499901;0,011160714;0,015836453;0,027064515;0,02657288;0,023183926;0,059662096;0,032091282;0,06118164;0,056126802;0,043990975;0,042801675;0,079682763;0,053344714;0,042181315;0,034569339;0,060875673;0,061402013;0,073497127;0,105709385
_uncultured_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,01501754;0;0;0,007318119;0;0;0,013532258;0;0,013523957;0,00813574;0;0;0,012347896;0,019866892;0;0,038596338;0;0;0,012736072;0,007609459;0;0,004772541;0
_uncultured_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Verrucomicrobiaceae_Verrucomicrobiales_Verrucomicrobiae_Verrucomicrobia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_WCHB1-69_Sphingobacteriales_Sphingobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_WW2-159_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_Xanthobacteraceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achromobacter_Alcaligenaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,020423855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,024900863;0;0;0;0,031608523;0;0,004772541;0
Acidovorax_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,034840694;0,004548556;0,006969855;0,013590792;0,006200397;0;0;0;0,013523957;0,010847654;0,01188566;0;0,01122536;0;0;0,026768428;0;0;0;0,02341372;0;0,004772541;0
Acinetobacter_Moraxellaceae_Pseudomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Actibacterium_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aequorivita_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,133956461;0,130088697;0,109194401;0,122317125;0,081845238;0,128131299;0,204675395;0,175068386;0,170015456;0,190737912;0,10697094;0,162687543;0,093170491;0,197249855;0,087131982;0,352969739;0,275258722;0,243353739;0,183763327;0,231795832;0,124509637;0,191856137;0,141305403
Aeromicrobium_Nocardioidaceae_Propionibacteriales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aeromonas_Aeromonadaceae_Aeromonadales_Gammaproteobacteria_Proteobacteria;0,707025806;0,365703889;0,511122728;0,618903746;0,388144841;0,515404549;0,361987889;0,37045721;0,328438949;0,235032498;0,438580852;0,308689183;0,295226977;0,183059218;0,209422483;0,296942796;0,179238237;0,270393043;0,141916233;0,239405292;0,167149923;0,116449993;0,093844046
